Issuer,Issue Month,Size (in issuance currency),Size (USD equivalent),Maturity Date,Issuer Country,Sector Criteria,Approved Verifier,Verifier Report,Status
New South Wales Treasury Corporation,2020-10-01,AUD 1.4bn,1000170000,10 years,Australia,Low Carbon TransportWater Infrastructure,EY Australia,/files/drupal-files/files/www.climatebonds.net,-
San Francisco Public Utilities Commission,2020-10-01,USD 341.435m,341435000,26 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/report-WSIP-2016.pdf,-
New York State Housing Finance Agency,2020-10-01,USD 138.46m,138460000,12 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
Tohoku Electric Power Co.,2020-09-01,JPY 10 bn,95000000,10 years,Japan,WindMarine Renewable EnergyGeothermalSolar,DNV,/files/drupal-files/files/Tohokuo-EPCO-second-bond-pre-issuance-verification-PUBLIC.pdf,-
Volkswagen,2020-09-01,EUR 2 bn,2340000000,8  12 years,Germany,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/VW-Pre-Issuance-Verification-PUBLIC.pdf,-
Sparebank 1 Boligkreditt,2020-09-01,EUR 1bn,1102000000,7 years,Norway,Low Carbon Buildings (Residential),MultiConsult,/files/drupal-files/files/Climate Bonds Sparebank 1 Boligkreditt Verification Post-Issuance Multiconsult May 2018.pdf,-
New York Metropolitan Transportation Authority,2020-09-01,USD 900m,900000000,30 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
China Merchants Bank,2020-09-01,USD 800m,800000000,5 years,China,Low Carbon Transport,EY,/files/drupal-files/files/CMB-Hong-Kong-Branch-pre-issuance-verification.pdf,-
Mercury NZ,2020-09-01,NZD 200m,134000000,7 years,New Zealand,WindGeothermal,DNV,/files/drupal-files/files/Mercury-pre-issuance-verification-PUBLIC.pdf,-
San Francisco Public Utilities Commission,2020-09-01,USD 150.9m,150895000,30 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/report-WSIP-2016.pdf,-
China Development Bank,2020-08-01,RMB 10 bn,1430000000,3 years,China,Low Carbon Transport,EY,/files/drupal-files/files/CDB-Bond-2-pre-issuance-verification.pdf,-
China Construction Bank,2020-08-01,USD 1.2 bn,1200000000,3 and 5 years,China,Low Carbon Transport,EY,/files/drupal-files/files/CCB-HK-2020-pre-issuance-verification-report-PUBLIC.pdf,-
Thailand Sovereign,2020-08-01,THB 40bn,1227852000,15 years,Thailand,Low Carbon Transport,DNV,/files/drupal-files/files/Kingdom-of-Thailand-post-issuance-verification.pdf,revoked
Kilroy Realty,2020-08-01,USD 425m,425000000,12 years,United States,Low Carbon Buildings (Commercial),DNV,/files/drupal-files/files/Kilroy-2020-Green-Bond-pre-post-issuance-verification-PUBLIC.pdf,-
Softbank Energy,2020-08-01,USD 333m,333000000,Confidential,India,Solar,KPMG,/files/drupal-files/files/SB-Energy-post-issuance-verification-statement_PUBLIC.pdf,-
PET REFINE TECHNOLOGY CO.  LTD,2020-08-01,JPY 1.75 bn,17000000,Confidential,Japan,Waste Management,Japan Credit Rating Agency,/files/drupal-files/files/PET_Refine_Pre-issuance_Verification.pdf,-
Ecoagro - Rizoma Agro,2020-08-01,BRL 25m,4500000,7 years,Brazil,Agriculture,Bureau Veritas Brazil,/files/drupal-files/files/Ecoagro-Rizoma-pre-issuance-statement-PUBLIC.pdf,-
Panasolar Group,2020-08-01,USD 15m,15000000,7 years,Panama,Solar,Pacific Corporate Sustainability,/files/drupal-files/files/Panasolar-pre-issuance-verification-report-PUBLIC.pdf,-
Japan Railway Construction  Transport and Technology Agency,2020-08-01,JPY 25bn,237000000,multiple tranches  up to 20 years,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
San Francisco Bay Area Rapid Transit,2020-08-01,USD 700m,700000000,Up to 26 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/www.climatebonds.net,-
Los Angeles County Metropolitan Transportation Authority,2020-08-01,USD 1.356 bn,1356000000,up to 17 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/LACMTA-2020A-pre-issuance-verification-PUBLIC.pdf,-
Milwaukee Metropolitan Sewerage District,2020-08-01,USD 27.69 m,27690000,10 years,United States,Water Infrastructure,Kestrel,/files/drupal-files/files/MMSD-2020D-pre-issuance-verification.pdf,-
IguÃƒÂ¡ Saneamento S.A.,2020-07-01,BRL 880.3m,166300000,14 years,Brazil,Water Infrastructure,Bureau Veritas Brazil,/files/drupal-files/files/Igua Saneamento SA_Pre issuance assurance statement.pdf,-
Fotowatio Renewable Ventures,2020-07-01,EUR 64 m,75000000,10 years,Spain,Solar,Vigeo Eiris,/files/drupal-files/files/FRV-pre-issuance-verification-PUBLIC.pdf,-
New York State Housing Finance Agency,2020-07-01,USD 164.1m,164100000,12 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
Connecticut Green Bank,2020-07-01,USD 16.8m,16800000,25 years,United States,Solar,Kestrel,/files/drupal-files/files/Connecticut Green Bank pre issuance report.pdf,-
PTT Public Company,2020-07-01,THB 2 bn,65000000,3 years,Thailand,Forestry,DNV,/files/drupal-files/files/PTT-pre-issuance-verification-PUBLIC.pdf,-
de Volksbank,2020-07-01,EUR 500m,571000000,10 years,Netherlands,Low Carbon Buildings (Residential),ISS ESG,/files/drupal-files/files/de-Volksbank-pre-issuance-report.pdf,-
Rumo,2020-07-01,USD 500m,500000000,8 years,Brazil,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/Rumo-Pre-Issuance-Verification-PUBLIC.pdf,-
Sparebanken Vest Boligkreditt,2020-07-01,EUR 500m,567000000,7 years,Norway,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/Sparebanken-Vest-CBI-Pre-Issuance-Verification.pdf,-
Geysers Power Company,2020-06-01,confidential,,,United States,Geothermal,DNV,/files/drupal-files/files/Geysers3_Pre issuance assurance statement.pdf,-
Ma Anshan Rural Commercial Bank,2020-06-01,RMB 400m,57000000,3 years,China,SolarWater Infrastructure,China Lianhe Equator,/files/drupal-files/files/MaanShan-Bank-pre-issuance-verification.pdf,-
Energie Baden-Wurttemberg (EnBW),2020-06-01,EUR 500m,568000000,60 years,Germany,Solar  Wind,ISS ESG,/files/drupal-files/files/ EnBW_Pre issuance assurance statement.pdf,-
Transbay Joint Powers Authority,2020-06-01,USD 271m,271205000,multiple tranches  up to 20 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/www.climatebonds.net,-
Kincardine Offshore Windfarm,2020-06-01,GBP 380m,481000000,Confidential,United Kingdom,Marine Renewable Energy,Vigeo Eiris,/files/drupal-files/files/Kincardine-Offshore-Windfarm-pre-issuance-report-PUBLIC.pdf,-
KBC Group,2020-06-01,EUR 500m,564000000,7 years,Belgium,Low Carbon Buildings (Residential)Marine Renewable EnergySolarWind,Sustainalytics,/files/drupal-files/files/KBC-2-Pre-Issuance-Verification-PUBLIC.pdf,-
Sparebank 1 Boligkreditt,2020-06-01,SEK 7.5 bn,802000000,5 years,Norway,Low Carbon Buildings (Residential),MultiConsult,/files/drupal-files/files/Climate Bonds Sparebank 1 Boligkreditt Verification Post-Issuance Multiconsult May 2018.pdf,-
City and County of San Francisco,2020-05-01,USD 81.82m,81820000,Up to 15 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/www.climatebonds.net,-
Japan Railway Construction  Transport and Technology Agency,2020-05-01,JPY 30bn,276000000,multiple tranches  up to 30 years,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
New York Metropolitan Transportation Authority,2020-05-01,USD 1.725 bn,1725000000,29 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
Eurogrid,2020-05-01,EUR 750m,812000000,12 years,Germany,Marine Renewable Energy,Vigeo Eiris,/files/drupal-files/files/Eurogrid-pre-issuance-verification.pdf,-
European Locomotive Leasing,2020-04-01,EUR 30m,32800000,12 years,Luxembourg,Low Carbon Transport,ISS ESG,/files/drupal-files/files/ELL_Pre-issuance_verification_report.pdf,-
Societe des Grands Projets,2020-04-01,EUR 50m,54000000,49 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
Milwaukee Metropolitan Sewerage District,2020-04-01,USD 80m,80000000,10 years,United States,Water Infrastructure,Kestrel,/files/drupal-files/files/MMSD-pre-issuance-verification.pdf,-
SNCF SA,2020-04-01,EUR 1.45b,1600000000,10 years,France,Low Carbon Transport,ISS,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Nanjing Jiangbei New Area Public Assets Investment & Development,2020-04-01,RMB 490m,72800000,3 years,China,Water Infrastructure,iGreenbank,/files/drupal-files/files/NJPAID-Pre-Issuance-Verification-public.pdf,-
Cime Capital AG,2020-03-01,CHF 100m,106000000,7 years,Switzerland,Wind,Kestrel,/files/drupal-files/files/Cime capital AG_Pre issuance assurance statement.pdf,-
New York State Housing Finance Agency,2020-03-01,USD 121.96m,121960000,up to 4 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
State Bank of India,2020-03-01,USD 100m,100000000,-,India,SolarWind,KPMG India,/files/drupal-files/files/KPMG State Bank of India pre issue statement PUBLIC.pdf,-
Banco Votorantim,2020-03-01,BRL 250m,49000000,4 years,Brazil,Solar,Vigeo Eiris,/files/drupal-files/files/BancoVotorantim-pre-issuance-verification.pdf,-
SNCF SA,2020-03-01,EUR 50m,50000000,100 years,France,Low Carbon Transport,ISS,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Local Government Super,2020-03-01,AUD 90m,55616400,3 years,Australia,Low Carbon Buildings (Commercial),DNV,/files/drupal-files/files/LGS-Green-Loan-Pre-issuance-Assurance-Opinion.pdf,-
Japan Railway Construction  Transport and Technology Agency,2020-03-01,JPY 42.64bn,392000000,4 years,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
Japan Railway Construction  Transport and Technology Agency,2020-02-01,JPY 16bn,145000000,,Japan,Low Carbon Transport,DNV,,-
Eren Dracena ParticipaÃƒÂ§oes S.A.,2020-02-01,BRL 280m,64685000,17 years,Brazil,Solar,Sitawi,,-
Japan Railway Construction  Transport and Technology Agency,2020-02-01,JPY 17bn,150000000,multiple tranches  up to 10 years,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
Tohoku Electric Power Co.,2020-02-01,JPY 5 bn,45430000,10 years,Japan,WindMarine Renewable EnergyGeothermal,DNV,/files/drupal-files/files/Tohoku-EPCO-pre-issuance-verification-PUBLIC.pdf,-
Societe des Grands Projets,2020-02-01,EUR 2.5bn,2746000000,50 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
Goldman Sachs Renewable Power,2020-02-01,USD 500m,500000000,24 years,United States,Solar,Sustainalytics,/files/drupal-files/files/GoldmanSachsRenewablePower-Pre-Issuance-Verification-PUBLIC.pdf,-
Santander Consumer Bank AS,2020-02-01,SEK 1 bn,104000000,3 years,Norway,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/Santander-Consumer-Bank-AS-Pre-Issuance-Verification-PUBLIC.pdf,-
Republic of Chile,2020-01-01,EUR 694,764000000,11 years,Chile,Low Carbon Buildings (Upgrades)Low Carbon TransportSolarWater Infrastructure,Vigeo Eiris,/files/drupal-files/files/www.climatebonds.net,-
Republic of Chile,2020-01-01,EUR 1.27,1398000000,20 years,Chile,Low Carbon Transport,Vigeo Eiris,/files/drupal-files/files/www.climatebonds.net,-
Republic of Chile,2020-01-01,USD 750m,750000000,12 years,Chile,Low Carbon Transport,Vigeo Eiris,/files/drupal-files/files/www.climatebonds.net,-
Republic of Chile,2020-01-01,USD 900m,900000000,30 years,Chile,Low Carbon Buildings (Upgrades)Low Carbon TransportSolarWater Infrastructure,Vigeo Eiris,/files/drupal-files/files/www.climatebonds.net,-
San Francisco Public Utilities Commission,2020-01-01,USD 622.58m,622580000,14 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/report-WSIP-2016.pdf,-
Renew Power,2020-01-01,USD 450m,450000000,7 years,India,SolarWind,Emergent Ventures India,/files/drupal-files/files/Renew-Power-Jan-20-Pre-issuance-Assurance-Report.pdf,-
New York Metropolitan Transportation Authority,2020-01-01,USD 924.75m,924750000,34 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
California State Teachers' Retirement System,2019-12-01,USD 272.605m,272605000,up to 30 years,United States,Low Carbon Buildings (commercial),Kestrel,/files/drupal-files/files/CalSTRS-pre-issuance-Verifier-Report.pdf,-
PKO Bank Hipoteczny SA,2019-12-01,PLN 250m,64000000,5 years,Poland,Low Carbon Buildings (Residential) Low Carbon Buildings (Upgrades),Sustainalytics,/files/drupal-files/files/2021-06-07_PKO_Post-issuance_Verification-report_(PUBLIC).pdf,-
Ellaktor,2019-12-01,EUR 670m,677000000,5 years,Greece,SolarWind,ISS ESG,/files/drupal-files/files/Ellaktor-pre-issuance-verification-report.pdf,-
New York State Housing Finance Agency,2019-12-01,USD 5.995m,5995000,5 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
New York State Housing Finance Agency,2019-12-01,USD 394m,394000000,up to 12 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
Ermewa Group,2019-12-01,EUR 528m,588000000,up to 10 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/Ermewa-CBI-Pre-Issuance-Verification-Letter.pdf,-
Genex Power Ltd,2019-12-01,AUD175m,120000000,20 years,Australia,Solar,DNV,/files/drupal-files/files/Genex-Pre-Issuance-Assurance-Opinion.pdf,-
FIRA,2019-11-01,MXN 2.5bn,129000000,4.5 years,Mexico,Protected AgricultureWater InfrastructureSolarForestry,Sustainalytics,/files/drupal-files/files/FEFA-Pre-Issuance-Verification-bond-2019.pdf,-
Japan Railway Construction  Transport and Technology Agency,2019-11-01,JPY 20bn,182000000,multiple tranches  up to 20 years,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
Flexi ABS Trust 2019-2 (FlexiGroup (now known as Humm Group)),2019-11-01,AUD 102.82m,69600000,Up to 31 years,Australia,Solar,DNV,/files/drupal-files/files/FLEXI-2019-2-Pre-Issuance-Verification.pdf,redeemed
New York Metropolitan Transportation Authority,2019-11-01,USD 241.7m,241745000,Up to 19 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
Commonwealth Bank of Australia,2019-11-01,confidential,,confidential,Australia,Low Carbon Buildings (Commercial)  Wind  Low Carbon Transport,EY,,redeemed
Renew Power,2019-10-01,USD 90m,90000000,,India,SolarWind,Emergent Ventures India,,-
SR Boligkreditt AS,2019-10-01,EUR 500m,549000000,7 years,Norway,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/SR-Boligkreditt-Pre-Issuance-Verification.pdf,-
Bank of China (Macau Branch),2019-10-01,EUR 300m  RMB 2bn  USD 350m,1000000000,3 years,China,Low Carbon TransportWindSolar,EY China,/files/drupal-files/files/BoC-Macau-Branch-pre-issuance-verification.pdf,-
Acorn Project (Two) Limited Liability Partnership,2019-10-01,KES 4.26bn,40545743,5 years,Kenya,Low Carbon Buildings (Residential),DNV,/files/drupal-files/files/Acorn-Holdings-Pre-Issuance-Assurance-PUBLIC.pdf,-
ING Bank Hipoteczny,2019-10-01,PLN 400m,102000000,5 years,Poland,Low Carbon Buildings (Residential),ISS ESG,/files/drupal-files/files/ING-Bank-Hipoteczny-pre-issuance-verification.pdf,-
Energy Absolute Public Company Limited,2019-10-01,THB 3bn,98000000,7 years,Thailand,Wind,DNV,/files/drupal-files/files/Energy-Absolute-pre-issuance-Verification-PUBLIC.pdf,-
Nedbank,2019-10-01,ZAR 1bn,68000000,2 tranches  up to 5 years,South Africa,SolarWind,Carbon Trust,/files/drupal-files/files/Nedbank-Pre-Issuance-Verification.pdf,-
Investa Commercial Property Fund,2019-10-01,confidential,,N/A,Australia,Low Carbon Buildings (Commercial),EY,/files/drupal-files/files/www.climatebonds.net,-
Shanghai Pudong Development Bank,2019-10-01,USD 300m,300000000,3 years,China,Low Carbon TransportLow Carbon Buildings,Sustainalytics,/files/drupal-files/files/www.climatebonds.net,-
San Francisco Bay Area Rapid Transit,2019-10-01,USD 80.29m,80290000,Up to 17 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/www.climatebonds.net,-
New York State Housing Finance Agency,2019-10-01,USD 87.3m,87300000,up to 12 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
Alpha Trains,2019-10-01,EUR 340m,377000000,,Luxembourg,Low Carbon TransportÂ ,Sustainalytics,/files/drupal-files/files/Alpha-Trains-Pre-Issuance-Verification-Letter.pdf,-
Sparebanken Sor Boligkreditt,2019-10-01,EUR 500m,555000000,7 years,Norway,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/Sparebanken-Sor-Boligkreditt-pre-issuance-Verification-report-PUBLIC.pdf,-
Terna Energy,2019-10-01,EUR 150m,167000000,7 years,Greece,Wind,EY Greece,/files/drupal-files/files/TERNA-ENERGY-Pre-issuance-Assurance-Report-PUBLIC.pdf,-
China Construction Bank,2019-10-01,EUR 500m,558000000,3 years,China,Wind,EY China,/files/drupal-files/files/CCB-Luxemburg-Branch-2019-Green-Bond-pre-issuance-attestation-report.pdf,-
China Construction Bank,2019-10-01,USD 1 bn,1000000000,3 years,China,Low Carbon Transport,EY China,/files/drupal-files/files/CCB-Hong-Kong-Branch-2019-Green-Bond-pre-issuance-attestation-report.pdf,-
Foresight Fund,2019-09-01,N/A,,,United Kingdom,Solar,Carbon Trust,/files/drupal-files/files/Foresight-Group-Pre-Issuance-Verification.pdf,-
Renew Power,2019-09-01,USD 300m,300000000,3 years,India,SolarWind,Emergent Ventures India,/files/drupal-files/files/www.climatebonds.net,-
Akiem Group,2019-09-01,USD 398m,398000000,up to 15 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/www.climatebonds.net,-
Azure Power Ltd,2019-09-01,USD 350.1m,350100000,5 years,India,Solar,Emergent Ventures India,/files/drupal-files/files/www.climatebonds.net,-
de Volksbank,2019-09-01,EUR 500m,554000000,5 years,Netherlands,Low Carbon Buildings (Residential),ISS ESG,/files/drupal-files/files/de-Volksbank-pre-issuance-report.pdf,-
EEW Capital Finance,2019-08-01,EUR 25m,,,United Kingdom,Energy,ISS ESG,,revoked
New South Wales Treasury Corporation,2019-08-01,AUD 200m,135000000,,Australia,Low Carbon TransportWater Infrastructure,EY Australia,,discontinued
Acorn Project (Two) Limited Liability Partnership,2019-08-01,KES 5.7bn,54944922,5 years,Kenya,Low Carbon Buildings  (Residential),DNV,,-
Porsche AG,2019-08-01,EUR 1bn,1120000000,Up to 7 years,Germany,Low Carbon Transport,ISS ESG,/files/drupal-files/files/porsche-pre-issuance-verification-report.pdf,-
Energy Absolute Public Company Limited,2019-08-01,THB 4bn,130000000,10 years,Thailand,Wind,DNV,/files/drupal-files/files/Energy-Absolute-pre-issuance-Verification-PUBLIC.pdf,-
Investa Commercial Property Fund,2019-08-01,confidential,,N/A,Australia,Low Carbon Buildings (Commercial),EY,/files/drupal-files/files/www.climatebonds.net,-
Energie Baden-Wurttemberg (EnBW),2019-08-01,EUR 1bn,1120000000,60 years,Germany,Marine Renewable EnergySolarWind,ISS ESG,/files/drupal-files/files/ EnBW_Pre issuance assurance statement.pdf,-
SNCF Reseau,2019-08-01,EUR 100m,111000000,100 years,France,Low Carbon Transport,ISS,/files/drupal-files/files/www.climatebonds.net,-
SNCF Reseau,2019-08-01,EUR 150m,167000000,10 years,France,Low Carbon Transport,ISS,/files/drupal-files/files/www.climatebonds.net,-
San Francisco Bay Area Rapid Transit,2019-08-01,USD 240m,240000000,20 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/www.climatebonds.net,-
San Francisco Bay Area Rapid Transit,2019-08-01,USD 360m,360000000,19 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/www.climatebonds.net,-
Japan Railway Construction  Transport and Technology Agency,2019-08-01,JPY 34bn,321000000,multiple tranches  up to 20 years,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
San Francisco Bay Area Rapid Transit,2019-08-01,USD 43.5m,43500000,15 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/www.climatebonds.net,-
QIC Shopping Centre Fund,2019-08-01,AUD 300m,202000000,6 years,Australia,Low Carbon Buildings  (Upgrades),Sustainalytics,/files/drupal-files/files/qic-pre-issuance-verification-letter-17052019-public.pdf,-
New York Metropolitan Transportation Authority,2019-08-01,USD 422.4m,422430000,Up to 30 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
ACWA Power SolarReserve Redstone,2019-07-01,ZAR 8bn,540000000,,South Africa,Solar,Sustainalytics,/files/drupal-files/files/ACWA-Redstone-Post-Issuance-verification.pdf,-
Energy Absolute Public Company Limited,2019-07-01,THB 3bn,97000000,10 years,Thailand,Wind,DNV,/files/drupal-files/files/Energy-Absolute-pre-issuance-Verification-PUBLIC.pdf,-
Meidensha Corporation,2019-07-01,JPY 6bn,55500000,5 years,Japan,Low Carbon TransportSolar,DNV,/files/drupal-files/files/Meidensha pre issuance verification PUBLIC.pdf,-
Societe Generale,2019-07-01,EUR 1bn,1120000000,10 years,France,Low Carbon Buildings  (Residential),Vigeo Eiris,/files/drupal-files/files/SociÃƒÂ©tÃƒÂ©_GÃƒÂ©nÃƒÂ©rale_Pre_issuance_Assurance_Report.pdf,-
New York State Housing Finance Agency,2019-07-01,USD 9.6m,9600000,4 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
Obvion,2019-07-01,EUR 641.3m,722000000,47 years,Netherlands,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/Obvion 2019 CBI Pre-Issuance Verification.pdf,-
Auckland Council,2019-07-01,NZD 150m,99200000,6 years,New Zealand,Low Carbon Transport,EY,/files/drupal-files/files/Auckland Council 2019 Bond Pre Issuance Assurance Statement PUBLIC.pdf,-
Ferrovie dello Stato,2019-07-01,EUR 700m,788000000,7 years,Italy,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/Ferrovie CBI Pre-Issuance Verification Report.pdf,-
SNCF Reseau,2019-07-01,EUR 1.5bn,1700000000,17 years,France,Low Carbon Transport,ISS,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Republic of Chile,2019-07-01,EUR 861m,979000000,12 years,Chile,Low Carbon Buildings (Upgrades)Low Carbon TransportSolarWater Infrastructure,Vigeo Eiris,/files/drupal-files/files/Republic of Chile pre issuance verification.pdf,-
Investa Commercial Property Fund,2019-06-01,confidential,,N/A,Australia,Low Carbon Buildings (Commercial),EY,/files/drupal-files/files/www.climatebonds.net,-
Williams Caribbean Capital,2019-06-01,BBD 3m,2000000,4 years,Barbados,Solar,Sustainalytics,/files/drupal-files/files/williams-caribbean-capital-pre-issuance-verification-report.pdf,-
NEOEN SA,2019-06-01,N/A,,,France,Solar,Vigeo Eiris,/files/drupal-files/files/Neoen-pre-issuance-verification-PUBLIC.pdf,-
New York State Housing Finance Agency,2019-06-01,USD 49.295m,49295000,up to 33 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
Republic of Chile,2019-06-01,USD 1.418bn,1418000000,31 years,Chile,Low Carbon Buildings (Upgrades)Low Carbon TransportSolarWater Infrastructure,Vigeo Eiris,/files/drupal-files/files/Republic of Chile pre issuance verification.pdf,-
Brookfield,2019-06-01,AUD 880m,608000000,5 years,Australia,Low Carbon Buildings (Commercial),EY,/files/drupal-files/files/Brookfield-pre-issuance-Assurance-PUBLIC.pdf,-
PKO Bank Hipoteczny SA,2019-06-01,PLN 250m,66000000,5 years,Poland,Low Carbon Buildings (Residential) Low Carbon Buildings (Upgrades),Sustainalytics,/files/drupal-files/files/PKO Bank Hipoteczny CBI Pre-Issuance Verification Letter.pdf,-
Volkswagen Immobilien,2019-05-01,EUR 60m,67000000,N/A,Germany,Low Carbon Buildings  (Residential),ISS ESG,/files/drupal-files/files/VW Immobilien oekom Climate Bonds pre-issuance-verification report.pdf,-
Japan Railway Construction  Transport and Technology Agency,2019-05-01,JPY 43bn,390000000,4 tranches  up to 30 years,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
BTS Group,2019-05-01,THB 13bn,408000000,5 tranches  up to 10 years,Thailand,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/BTS Group Pre Issuance Verification Report public.pdf,-
Societe des Grands Projets,2019-05-01,EUR 2.5bn,2746000000,51 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
New York Metropolitan Transportation Authority,2019-05-01,USD 177.2m,177185000,Up to 31 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
Netherlands Sovereign,2019-05-01,EUR 10.7 bn,12130000000,21 years,Netherlands,Low Carbon Buildings (Upgrades)Low Carbon TransportMarine Renewable EnergySolarWater Infrastructure,Sustainalytics,/files/drupal-files/files/state-of-the-netherlands-pre-issuance-cbi-certification-letter,-
Vesteda,2019-05-01,EUR 500m,558000000,8 years,Netherlands,Low Carbon Buildings (Residential)Low Carbon Buildings (Upgrades),Sustainalytics,/files/drupal-files/files/Vesteda CBI Pre-Issuance Report.pdf,-
Nedbank,2019-04-01,ZAR 1.66bn,116000000,Multiple tranches  up to 7 years,South Africa,SolarWind,Carbon Trust,/files/drupal-files/files/Nedbank  Carbon Trust Pre-Issuance Verification Report.pdf,-
Jiangsu Financial Leasing,2019-04-01,RMB 1bn,149000000,3 years,China,Solar,CCX Management,/files/drupal-files/files/www.climatebonds.net,-
Woolworths Group,2019-04-01,AUD 400m,284000000,5 years,Australia,Low Carbon Buildings (Commercial),EY,/files/drupal-files/files/Woolworths pre issuance report PUBLIC.pdf,-
Societe des Grands Projets,2019-04-01,EUR 55m,62000000,50 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
Societe des Grands Projets,2019-04-01,EUR 70m,79000000,47 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
ABN AMRO,2019-04-01,EUR 750m,848000000,7 years,Netherlands,Low Carbon Buildings (Commercial)Low Carbon Buildings (Residential)Marine Renewable EnergySolar,ISS ESG,/files/drupal-files/files/ABN Amro Bond 2019 pre issuance verification report.pdf,-
AES TietÃƒÂª Energia,2019-04-01,BRL 820m,208000000,10 years,Brazil,Solar,Vigeo Eiris,/files/drupal-files/files/AES Tiete Energia pre issuance report final.pdf,-
Connecticut Green Bank,2019-04-01,USD 38.6m,38600000,25 years,United States,Solar,Kestrel,/files/drupal-files/files/Connecticut Green Bank pre issuance report.pdf,-
